matchup_id,game_date,home,away,playoffs,whos_favored,spread,total,moneyline_home,moneyline_away
DET-BOS-2025-11-26,2025-11-26,BOS,DET,0,away,2,234,,
NYK-CHO-2025-11-26,2025-11-26,CHO,NYK,0,away,6.5,242.5,,
MIL-MIA-2025-11-26,2025-11-26,MIA,MIL,0,home,10.5,237,,
IND-TOR-2025-11-26,2025-11-26,TOR,IND,0,home,10,234,,
MIN-OKC-2025-11-26,2025-11-26,OKC,MIN,0,home,11,226,,
MEM-NOP-2025-11-26,2025-11-26,NOP,MEM,0,away,3.5,236.5,,
HOU-GSW-2025-11-26,2025-11-26,GSW,HOU,0,home,3.5,224.5,,
SAS-POR-2025-11-26,2025-11-26,POR,SAS,0,away,1.5,240,,
PHO-SAC-2025-11-26,2025-11-26,SAC,PHO,0,away,4.5,234,,
CLE-ATL-2025-11-28,2025-11-28,ATL,CLE,0,away,6.5,236.5,,
PHI-BRK-2025-11-28,2025-11-28,BRK,PHI,0,away,7,222.5,,
CHI-CHO-2025-11-28,2025-11-28,CHO,CHI,0,away,3,248.5,,
ORL-DET-2025-11-28,2025-11-28,DET,ORL,0,home,3.5,230.5,,
WAS-IND-2025-11-28,2025-11-28,IND,WAS,0,home,6.5,240.5,,
MIL-NYK-2025-11-28,2025-11-28,NYK,MIL,0,home,7.5,232.5,,
PHO-OKC-2025-11-28,2025-11-28,OKC,PHO,0,home,14.5,223.5,,
SAS-DEN-2025-11-28,2025-11-28,DEN,SAS,0,home,7,238.5,,
SAC-UTA-2025-11-28,2025-11-28,UTA,SAC,0,home,2.5,242,,
DAL-LAL-2025-11-28,2025-11-28,LAL,DAL,0,home,10,232.5,,
MEM-LAC-2025-11-28,2025-11-28,LAC,MEM,0,home,6.5,224.5,,
BOS-MIN-2025-11-29,2025-11-29,MIN,BOS,0,home,6,229.5,,
TOR-CHO-2025-11-29,2025-11-29,CHO,TOR,0,away,6.5,234,,
CHI-IND-2025-11-29,2025-11-29,IND,CHI,0,away,2.5,240,,
DET-MIA-2025-11-29,2025-11-29,MIA,DET,0,home,3.5,239.5,,
BRK-MIL-2025-11-29,2025-11-29,MIL,BRK,0,home,11.5,218.5,,
NOP-GSW-2025-11-29,2025-11-29,GSW,NOP,0,home,10,228,,
DEN-PHO-2025-11-29,2025-11-29,PHO,DEN,0,away,3.5,233.5,,
DAL-LAC-2025-11-29,2025-11-29,LAC,DAL,0,home,9.5,224.5,,
HOU-UTA-2025-11-30,2025-11-30,UTA,HOU,0,away,11.5,233.5,,
BOS-CLE-2025-11-30,2025-11-30,CLE,BOS,0,home,7.5,235,,
TOR-NYK-2025-11-30,2025-11-30,NYK,TOR,0,home,8.5,229,,
ATL-PHI-2025-11-30,2025-11-30,PHI,ATL,0,home,3,232.5,,
OKC-POR-2025-11-30,2025-11-30,POR,OKC,0,away,11.5,234,,
SAS-MIN-2025-11-30,2025-11-30,MIN,SAS,0,home,4.5,234,,
MEM-SAC-2025-11-30,2025-11-30,SAC,MEM,0,away,3,233.5,,
NOP-LAL-2025-11-30,2025-11-30,LAL,NOP,0,home,15.5,228.5,,
ATL-DET-2025-12-01,2025-12-01,DET,ATL,0,home,9.5,232.5,,
CLE-IND-2025-12-01,2025-12-01,IND,CLE,0,away,4.5,231,,
MIL-WAS-2025-12-01,2025-12-01,WAS,MIL,0,away,10.5,232.5,,
CHO-BRK-2025-12-01,2025-12-01,BRK,CHO,0,away,4.5,228.5,,
LAC-MIA-2025-12-01,2025-12-01,MIA,LAC,0,home,6.5,235.5,,
CHI-ORL-2025-12-01,2025-12-01,ORL,CHI,0,home,9.5,239.5,,
DAL-DEN-2025-12-01,2025-12-01,DEN,DAL,0,home,11.5,235.5,,
HOU-UTA-2025-12-01,2025-12-01,UTA,HOU,0,away,11.5,234.5,,
PHO-LAL-2025-12-01,2025-12-01,LAL,PHO,0,home,5.5,231.5,,
WAS-PHI-2025-12-02,2025-12-02,PHI,WAS,0,home,13.5,234.5,,
POR-TOR-2025-12-02,2025-12-02,TOR,POR,0,home,5,230.5,,
NYK-BOS-2025-12-02,2025-12-02,BOS,NYK,0,away,1,230.5,,
MIN-NOP-2025-12-02,2025-12-02,NOP,MIN,0,away,12.5,229.5,,
MEM-SAS-2025-12-02,2025-12-02,SAS,MEM,0,home,5,232.5,,
OKC-GSW-2025-12-02,2025-12-02,GSW,OKC,0,away,11,223.5,,
POR-CLE-2025-12-03,2025-12-03,CLE,POR,0,home,10.5,243.5,,
DEN-IND-2025-12-03,2025-12-03,IND,DEN,0,away,8,237.5,,
SAS-ORL-2025-12-03,2025-12-03,ORL,SAS,0,home,8.5,235.5,,
LAC-ATL-2025-12-03,2025-12-03,ATL,LAC,0,home,1.5,225.5,,
CHO-NYK-2025-12-03,2025-12-03,NYK,CHO,0,home,9.5,236,,
BRK-CHI-2025-12-03,2025-12-03,CHI,BRK,0,home,8,231.5,,
SAC-HOU-2025-12-03,2025-12-03,HOU,SAC,0,home,15.5,230.5,,
DET-MIL-2025-12-03,2025-12-03,MIL,DET,0,away,4.5,228.5,,
MIA-DAL-2025-12-03,2025-12-03,DAL,MIA,0,away,4.5,238.5,,
BOS-WAS-2025-12-04,2025-12-04,WAS,BOS,0,away,10.5,231,,
GSW-PHI-2025-12-04,2025-12-04,PHI,GSW,0,home,4,224,,
UTA-BRK-2025-12-04,2025-12-04,BRK,UTA,0,away,5,231,,
LAL-TOR-2025-12-04,2025-12-04,TOR,LAL,0,home,2.5,228.5,,
MIN-NOP-2025-12-04,2025-12-04,NOP,MIN,0,away,11.5,233,,
LAL-BOS-2025-12-05,2025-12-05,BOS,LAL,0,home,9,227.5,,
MIA-ORL-2025-12-05,2025-12-05,ORL,MIA,0,home,6.5,241,,
CHO-TOR-2025-12-05,2025-12-05,TOR,CHO,0,home,6.5,230.5,,
POR-DET-2025-12-05,2025-12-05,DET,POR,0,home,8.5,236.5,,
SAS-CLE-2025-12-05,2025-12-05,CLE,SAS,0,home,5.5,238.5,,
DEN-ATL-2025-12-05,2025-12-05,ATL,DEN,0,away,3.5,238.5,,
UTA-NYK-2025-12-05,2025-12-05,NYK,UTA,0,home,16,243.5,,
IND-CHI-2025-12-05,2025-12-05,CHI,IND,0,home,4.5,235,,
LAC-MEM-2025-12-05,2025-12-05,MEM,LAC,0,away,2,223.5,,
PHI-MIL-2025-12-05,2025-12-05,MIL,PHI,0,away,1,221.5,,
PHO-HOU-2025-12-05,2025-12-05,HOU,PHO,0,home,8.5,219.5,,
DAL-OKC-2025-12-05,2025-12-05,OKC,DAL,0,home,15.5,229.5,,
NOP-BRK-2025-12-06,2025-12-06,BRK,NOP,0,home,3.5,227.5,,
ATL-WAS-2025-12-06,2025-12-06,WAS,ATL,0,away,9.5,237.5,,
GSW-CLE-2025-12-06,2025-12-06,CLE,GSW,0,home,9,230,,
MIL-DET-2025-12-06,2025-12-06,DET,MIL,0,home,12.5,223.5,,
LAC-MIN-2025-12-06,2025-12-06,MIN,LAC,0,home,8.5,228,,
SAC-MIA-2025-12-06,2025-12-06,MIA,SAC,0,home,9,241.5,,
HOU-DAL-2025-12-06,2025-12-06,DAL,HOU,0,away,6.5,221,,
ORL-NYK-2025-12-07,2025-12-07,NYK,ORL,0,home,1.5,229.5,,
BOS-TOR-2025-12-07,2025-12-07,TOR,BOS,0,away,3.5,224.5,,
DEN-CHO-2025-12-07,2025-12-07,CHO,DEN,0,away,10.5,235.5,,
POR-MEM-2025-12-07,2025-12-07,MEM,POR,0,home,2,232.5,,
GSW-CHI-2025-12-07,2025-12-07,CHI,GSW,0,away,1,229.5,,
LAL-PHI-2025-12-07,2025-12-07,PHI,LAL,0,away,2.5,233.5,,
OKC-UTA-2025-12-07,2025-12-07,UTA,OKC,0,away,11.5,233.5,,
SAC-IND-2025-12-08,2025-12-08,IND,SAC,0,home,3.5,232,,
PHO-MIN-2025-12-08,2025-12-08,MIN,PHO,0,home,8,226,,
SAS-NOP-2025-12-08,2025-12-08,NOP,SAS,0,away,8.5,238,,
MIA-ORL-2025-12-09,2025-12-09,ORL,MIA,0,home,1.5,235,,
NYK-TOR-2025-12-09,2025-12-09,TOR,NYK,0,away,6.5,226.5,,
PHO-OKC-2025-12-10,2025-12-10,OKC,PHO,0,home,15.5,221.5,,
SAS-LAL-2025-12-10,2025-12-10,LAL,SAS,0,home,7,242.5,,
LAC-HOU-2025-12-11,2025-12-11,HOU,LAC,0,home,8.5,221,,
BOS-MIL-2025-12-11,2025-12-11,MIL,BOS,0,away,9.5,223,,
POR-NOP-2025-12-11,2025-12-11,NOP,POR,0,away,3.5,242.5,,
DEN-SAC-2025-12-11,2025-12-11,SAC,DEN,0,away,10.5,239.5,,
CHI-CHO-2025-12-12,2025-12-12,CHO,CHI,0,away,3,229.5,,
ATL-DET-2025-12-12,2025-12-12,DET,ATL,0,home,7,233,,
IND-PHI-2025-12-12,2025-12-12,PHI,IND,0,home,5.5,221.5,,
CLE-WAS-2025-12-12,2025-12-12,WAS,CLE,0,away,17,246,,
UTA-MEM-2025-12-12,2025-12-12,MEM,UTA,0,home,7.5,243.5,,
BRK-DAL-2025-12-12,2025-12-12,DAL,BRK,0,home,7,218.5,,
MIN-GSW-2025-12-12,2025-12-12,GSW,MIN,0,home,4.5,228.5,,
NYK-ORL-2025-12-13,2025-12-13,ORL,NYK,0,away,4,225,,
SAS-OKC-2025-12-13,2025-12-13,OKC,SAS,0,home,10.5,233.5,,
WAS-IND-2025-12-14,2025-12-14,IND,WAS,0,home,10,233.5,,
CHO-CLE-2025-12-14,2025-12-14,CLE,CHO,0,home,12,233,,
PHI-ATL-2025-12-14,2025-12-14,ATL,PHI,0,home,4.5,225.5,,
MIL-BRK-2025-12-14,2025-12-14,BRK,MIL,0,away,1.5,216.5,,
SAC-MIN-2025-12-14,2025-12-14,MIN,SAC,0,home,9.5,235.5,,
NOP-CHI-2025-12-14,2025-12-14,CHI,NOP,0,home,4.5,248,,
LAL-PHO-2025-12-14,2025-12-14,PHO,LAL,0,home,1.5,232,,
GSW-POR-2025-12-14,2025-12-14,POR,GSW,0,away,5,237,,
DET-BOS-2025-12-15,2025-12-15,BOS,DET,0,home,1.5,231.5,,
TOR-MIA-2025-12-15,2025-12-15,MIA,TOR,0,home,4.5,233.5,,
DAL-UTA-2025-12-15,2025-12-15,UTA,DAL,0,away,1,241,,
HOU-DEN-2025-12-15,2025-12-15,DEN,HOU,0,away,1,237.5,,
MEM-LAC-2025-12-15,2025-12-15,LAC,MEM,0,home,5.5,229.5,,
SAS-NYK-2025-12-16,2025-12-16,NYK,SAS,0,home,2.5,233.5,,
CLE-CHI-2025-12-17,2025-12-17,CHI,CLE,0,away,5.5,242.5,,
MEM-MIN-2025-12-17,2025-12-17,MIN,MEM,0,home,6.5,227,,
ATL-CHO-2025-12-18,2025-12-18,CHO,ATL,0,away,4.5,240.5,,
NYK-IND-2025-12-18,2025-12-18,IND,NYK,0,away,2.5,225.5,,
MIA-BRK-2025-12-18,2025-12-18,BRK,MIA,0,away,11.5,236.5,,
LAC-OKC-2025-12-18,2025-12-18,OKC,LAC,0,home,17,223.5,,
WAS-SAS-2025-12-18,2025-12-18,SAS,WAS,0,home,15.5,241,,
TOR-MIL-2025-12-18,2025-12-18,MIL,TOR,0,away,4.5,218.5,,
HOU-NOP-2025-12-18,2025-12-18,NOP,HOU,0,away,9.5,236,,
DET-DAL-2025-12-18,2025-12-18,DAL,DET,0,away,3.5,231.5,,
ORL-DEN-2025-12-18,2025-12-18,DEN,ORL,0,home,5.5,239.5,,
GSW-PHO-2025-12-18,2025-12-18,PHO,GSW,0,away,2.5,229.5,,
LAL-UTA-2025-12-18,2025-12-18,UTA,LAL,0,away,7.5,248.5,,
SAC-POR-2025-12-18,2025-12-18,POR,SAC,0,home,8.5,239,,
MIA-BOS-2025-12-19,2025-12-19,BOS,MIA,0,home,9.5,236.5,,
PHI-NYK-2025-12-19,2025-12-19,NYK,PHI,0,home,4.5,230,,
SAS-ATL-2025-12-19,2025-12-19,ATL,SAS,0,away,6.5,236.5,,
CHI-CLE-2025-12-19,2025-12-19,CLE,CHI,0,home,8.5,239.5,,
OKC-MIN-2025-12-19,2025-12-19,MIN,OKC,0,away,6,233,,
HOU-DEN-2025-12-20,2025-12-20,DEN,HOU,0,away,2.5,235.5,,
DAL-PHI-2025-12-20,2025-12-20,PHI,DAL,0,away,3.5,228.5,,
BOS-TOR-2025-12-20,2025-12-20,TOR,BOS,0,home,3.5,215.5,,
IND-NOP-2025-12-20,2025-12-20,NOP,IND,0,home,6.5,239.5,,
CHO-DET-2025-12-20,2025-12-20,DET,CHO,0,home,8.5,238.5,,
WAS-MEM-2025-12-20,2025-12-20,MEM,WAS,0,home,12.5,233,,
PHO-GSW-2025-12-20,2025-12-20,GSW,PHO,0,home,4.5,233.5,,
ORL-UTA-2025-12-20,2025-12-20,UTA,ORL,0,away,9.5,240,,
POR-SAC-2025-12-20,2025-12-20,SAC,POR,0,away,9.5,231.5,,
LAL-LAC-2025-12-20,2025-12-20,LAC,LAL,0,home,3.5,228.5,,
CHI-ATL-2025-12-21,2025-12-21,ATL,CHI,0,away,1.5,257.5,,
TOR-BRK-2025-12-21,2025-12-21,BRK,TOR,0,away,3.5,216.5,,
MIA-NYK-2025-12-21,2025-12-21,NYK,MIA,0,home,6.5,235.5,,
SAS-WAS-2025-12-21,2025-12-21,WAS,SAS,0,away,12.5,236.5,,
MIL-MIN-2025-12-21,2025-12-21,MIN,MIL,0,home,8.5,222.5,,
HOU-SAC-2025-12-21,2025-12-21,SAC,HOU,0,away,10.5,229.5,,
CHO-CLE-2025-12-22,2025-12-22,CLE,CHO,0,home,10.5,252.5,,
IND-BOS-2025-12-22,2025-12-22,BOS,IND,0,home,8.5,231.5,,
DAL-NOP-2025-12-22,2025-12-22,NOP,DAL,0,away,1,241,,
UTA-DEN-2025-12-22,2025-12-22,DEN,UTA,0,home,23.5,251.5,,
MEM-OKC-2025-12-22,2025-12-22,OKC,MEM,0,home,15.5,234,,
ORL-GSW-2025-12-22,2025-12-22,GSW,ORL,0,home,4.5,228.5,,
DET-POR-2025-12-22,2025-12-22,POR,DET,0,away,7.5,233.5,,
WAS-CHO-2025-12-23,2025-12-23,CHO,WAS,0,home,7.5,231.5,,
BRK-PHI-2025-12-23,2025-12-23,PHI,BRK,0,home,9.5,215.5,,
CHI-ATL-2025-12-23,2025-12-23,ATL,CHI,0,home,3.5,254.5,,
NOP-CLE-2025-12-23,2025-12-23,CLE,NOP,0,home,9.5,248.5,,
MIL-IND-2025-12-23,2025-12-23,IND,MIL,0,away,1.5,217,,
TOR-MIA-2025-12-23,2025-12-23,MIA,TOR,0,home,5.5,227.5,,
DEN-DAL-2025-12-23,2025-12-23,DAL,DEN,0,home,1.5,234.5,,
NYK-MIN-2025-12-23,2025-12-23,MIN,NYK,0,home,7.5,235.5,,
OKC-SAS-2025-12-23,2025-12-23,SAS,OKC,0,away,6.5,236.5,,
LAL-PHO-2025-12-23,2025-12-23,PHO,LAL,0,home,3.5,226.5,,
MEM-UTA-2025-12-23,2025-12-23,UTA,MEM,0,away,6.5,242.5,,
ORL-POR-2025-12-23,2025-12-23,POR,ORL,0,away,1.5,231.5,,
DET-SAC-2025-12-23,2025-12-23,SAC,DET,0,away,9.5,227.5,,
HOU-LAC-2025-12-23,2025-12-23,LAC,HOU,0,away,7,219.5,,
CLE-NYK-2025-12-25,2025-12-25,NYK,CLE,0,away,3.5,239.5,,
SAS-OKC-2025-12-25,2025-12-25,OKC,SAS,0,home,10.5,234.5,,
DAL-GSW-2025-12-25,2025-12-25,GSW,DAL,0,home,9.5,231.5,,
HOU-LAL-2025-12-25,2025-12-25,LAL,HOU,0,away,6.5,232.5,,
MIN-DEN-2025-12-25,2025-12-25,DEN,MIN,0,away,1.5,232.5,,
MIA-ATL-2025-12-26,2025-12-26,ATL,MIA,0,home,1.5,253.5,,
CHO-ORL-2025-12-26,2025-12-26,ORL,CHO,0,home,3.5,236.5,,
TOR-WAS-2025-12-26,2025-12-26,WAS,TOR,0,away,8,226,,
BOS-IND-2025-12-26,2025-12-26,IND,BOS,0,away,4.5,229.5,,
PHI-CHI-2025-12-26,2025-12-26,CHI,PHI,0,away,5.5,240.5,,
PHO-NOP-2025-12-26,2025-12-26,NOP,PHO,0,away,5.5,241,,
MIL-MEM-2025-12-26,2025-12-26,MEM,MIL,0,home,3.5,228.5,,
DET-UTA-2025-12-26,2025-12-26,UTA,DET,0,away,8.5,248.5,,
LAC-POR-2025-12-26,2025-12-26,POR,LAC,0,home,3.5,224.5,,
DAL-SAC-2025-12-27,2025-12-27,SAC,DAL,0,away,1.5,233.5,,
DEN-ORL-2025-12-27,2025-12-27,ORL,DEN,0,away,3.5,237.5,,
PHO-NOP-2025-12-27,2025-12-27,NOP,PHO,0,away,4.5,237.5,,
BRK-MIN-2025-12-27,2025-12-27,MIN,BRK,0,home,12,224,,
NYK-ATL-2025-12-27,2025-12-27,ATL,NYK,0,away,5.5,244.5,,
IND-MIA-2025-12-27,2025-12-27,MIA,IND,0,home,6.5,234,,
MIL-CHI-2025-12-27,2025-12-27,CHI,MIL,0,home,3.5,229.5,,
CLE-HOU-2025-12-27,2025-12-27,HOU,CLE,0,home,2,232,,
UTA-SAS-2025-12-27,2025-12-27,SAS,UTA,0,home,14,245,,
GSW-TOR-2025-12-28,2025-12-28,TOR,GSW,0,away,4.5,230.5,,
PHI-OKC-2025-12-28,2025-12-28,OKC,PHI,0,home,15,226.5,,
MEM-WAS-2025-12-28,2025-12-28,WAS,MEM,0,away,8,241.5,,
BOS-POR-2025-12-28,2025-12-28,POR,BOS,0,away,6.5,231.5,,
DET-LAC-2025-12-28,2025-12-28,LAC,DET,0,home,1.5,228.5,,
SAC-LAL-2025-12-28,2025-12-28,LAL,SAC,0,home,12.5,231.5,,
MIL-CHO-2025-12-29,2025-12-29,CHO,MIL,0,away,4.5,227.5,,
PHO-WAS-2025-12-29,2025-12-29,WAS,PHO,0,away,10.5,230.5,,
GSW-BRK-2025-12-29,2025-12-29,BRK,GSW,0,away,2.5,231.5,,
DEN-MIA-2025-12-29,2025-12-29,MIA,DEN,0,home,1.5,246.5,,
ORL-TOR-2025-12-29,2025-12-29,TOR,ORL,0,away,6.5,217.5,,
CLE-SAS-2025-12-29,2025-12-29,SAS,CLE,0,away,1.5,240.5,,
ATL-OKC-2025-12-29,2025-12-29,OKC,ATL,0,home,16.5,235.5,,
NYK-NOP-2025-12-29,2025-12-29,NOP,NYK,0,away,8.5,252.5,,
IND-HOU-2025-12-29,2025-12-29,HOU,IND,0,home,17.5,221.5,,
MIN-CHI-2025-12-29,2025-12-29,CHI,MIN,0,away,6.5,230.5,,
DAL-POR-2025-12-29,2025-12-29,POR,DAL,0,home,2.5,232.5,,
PHI-MEM-2025-12-30,2025-12-30,MEM,PHI,0,home,3.5,237.5,,
BOS-UTA-2025-12-30,2025-12-30,UTA,BOS,0,away,4.5,246.5,,
DET-LAL-2025-12-30,2025-12-30,LAL,DET,0,away,2.5,235.5,,
SAC-LAC-2025-12-30,2025-12-30,LAC,SAC,0,home,10.5,216.5,,
GSW-CHO-2025-12-31,2025-12-31,CHO,GSW,0,away,7.5,239.5,,
ORL-IND-2025-12-31,2025-12-31,IND,ORL,0,away,7.5,229.5,,
MIN-ATL-2025-12-31,2025-12-31,ATL,MIN,0,away,2.5,246.5,,
PHO-CLE-2025-12-31,2025-12-31,CLE,PHO,0,home,10.5,237.5,,
NYK-SAS-2025-12-31,2025-12-31,SAS,NYK,0,home,1.5,239.5,,
NOP-CHI-2025-12-31,2025-12-31,CHI,NOP,0,home,5.5,251.5,,
DEN-TOR-2025-12-31,2025-12-31,TOR,DEN,0,home,7,229.5,,
WAS-MIL-2025-12-31,2025-12-31,MIL,WAS,0,home,15.5,235.5,,
POR-OKC-2025-12-31,2025-12-31,OKC,POR,0,home,17.5,230.5,,
HOU-BRK-2026-01-01,2026-01-01,BRK,HOU,0,away,18.5,220.5,,
MIA-DET-2026-01-01,2026-01-01,DET,MIA,0,home,3.5,239.5,,
PHI-DAL-2026-01-01,2026-01-01,DAL,PHI,0,away,1.5,234.5,,
BOS-SAC-2026-01-01,2026-01-01,SAC,BOS,0,away,7.5,232.5,,
UTA-LAC-2026-01-01,2026-01-01,LAC,UTA,0,home,20.5,227.5,,
SAS-IND-2026-01-02,2026-01-02,IND,SAS,0,away,1.5,243.5,,
BRK-WAS-2026-01-02,2026-01-02,WAS,BRK,0,home,4.5,230.5,,
DEN-CLE-2026-01-02,2026-01-02,CLE,DEN,0,home,11.5,238.5,,
ATL-NYK-2026-01-02,2026-01-02,NYK,ATL,0,home,6.5,246.5,,
ORL-CHI-2026-01-02,2026-01-02,CHI,ORL,0,away,9.5,227.5,,
CHO-MIL-2026-01-02,2026-01-02,MIL,CHO,0,home,5.5,238.5,,
POR-NOP-2026-01-02,2026-01-02,NOP,POR,0,away,3.5,250.5,,
SAC-PHO-2026-01-02,2026-01-02,PHO,SAC,0,home,14.5,224.5,,
OKC-GSW-2026-01-02,2026-01-02,GSW,OKC,0,away,15.5,223.5,,
MEM-LAL-2026-01-02,2026-01-02,LAL,MEM,0,home,8.5,241.5,,
MIN-MIA-2026-01-03,2026-01-03,MIA,MIN,0,away,6.5,232.5,,
PHI-NYK-2026-01-03,2026-01-03,NYK,PHI,0,home,4.5,228.5,,
ATL-TOR-2026-01-03,2026-01-03,TOR,ATL,0,home,3.5,231.5,,
CHO-CHI-2026-01-03,2026-01-03,CHI,CHO,0,home,2.5,242.5,,
POR-SAS-2026-01-03,2026-01-03,SAS,POR,0,home,4.5,236.5,,
HOU-DAL-2026-01-03,2026-01-03,DAL,HOU,0,away,8.5,227.5,,
UTA-GSW-2026-01-03,2026-01-03,GSW,UTA,0,home,9.5,249.5,,
BOS-LAC-2026-01-03,2026-01-03,LAC,BOS,0,home,1.5,220,,
DET-CLE-2026-01-04,2026-01-04,CLE,DET,0,home,3.5,239.5,,
IND-ORL-2026-01-04,2026-01-04,ORL,IND,0,home,6,231.5,,
DEN-BRK-2026-01-04,2026-01-04,BRK,DEN,0,home,1.5,224.5,,
NOP-MIA-2026-01-04,2026-01-04,MIA,NOP,0,home,7.5,258.5,,
MIN-WAS-2026-01-04,2026-01-04,WAS,MIN,0,away,12.5,245.5,,
OKC-PHO-2026-01-04,2026-01-04,PHO,OKC,0,away,12.5,228.5,,
